page_path,page_title,original_video_title_or_filename,original_mp4_url,youtube_search_query,replacement_youtube_url
/5-bai-tap-phap-luan-cong/,Hướng dẫn tập 5 bài tập Pháp Luân Công chuẩn,huong dan tap phap luan cong,https://media.dieukydieu.tv/videos/original/huong-dan-tap-phap-luan-cong.mp4,huong dan tap phap luan cong,
/an-giang-mien-tay-que-toi/,An Giang! Miền tây quê tôi,an giang,https://media.dieukydieu.tv/videos/original/an-giang.mp4,an giang Pháp Luân Công,
/bai-hat-tro-ve-co-huong-mien-dat-tinh-tho/,Bài hát: Trở về Cố Hương – miền đất tịnh thổ,tro ve co huong,https://media.dieukydieu.tv/videos/original/tro-ve-co-huong.mp4,tro ve co huong Pháp Luân Công,
/bay-nua-vong-trai-dat-chi-de-gap-su-phu/,Bay Nửa Vòng Trái Đất Chỉ Để Gặp Sư Phụ,bay nua vong trai dat,https://media.dieukydieu.tv/videos/original/bay-nua-vong-trai-dat.mp4,bay nua vong trai dat Pháp Luân Công,
/ca-khuc-mong-tinh-loi-viet/,Ca khúc: Mộng Tỉnh – lời việt,mong tinh,https://media.dieukydieu.tv/videos/original/mong-tinh.mp4,mong tinh Pháp Luân Công,
/ca-khuc-thien-su-huy-hoang/,Ca khúc: Thiên sử huy hoàng,thien su huy hoang,https://media.dieukydieu.tv/videos/original/thien-su-huy-hoang.mp4,thien su huy hoang Pháp Luân Công,
/cac-nghi-sy-hoa-ky-ton-vinh-ngay-phap-luan-dai-phap-the-gioi-13-5-2020/,Các nghị sỹ Hoa Kỳ tôn vinh ngày Pháp Luân Đại Pháp thế giới 13/5/2020,nghi sy hoa ky,https://media.dieukydieu.tv/videos/original/nghi-sy-hoa-ky.mp4,nghi sy hoa ky Pháp Luân Công,
/cac-thanh-pho-o-canada-cung-treo-co-mung-ngay-phap-luan-dai-phap-the-gioi/,Các thành phố ở Canada cùng treo cờ mừng ”Ngày Pháp Luân Đại Pháp Thế giới’,Các thành phố ở Canada cùng treo cờ mừng Ngày Pháp Luân Đại Pháp Thế giới,https://media.dieukydieu.tv/videos/original/C%C3%A1c-th%C3%A0nh-ph%E1%BB%91-%E1%BB%9F-Canada-c%C3%B9ng-treo-c%E1%BB%9D-m%E1%BB%ABng-Ng%C3%A0y-Ph%C3%A1p-Lu%C3%A2n-%C4%90%E1%BA%A1i-Ph%C3%A1p-Th%E1%BA%BF-gi%E1%BB%9Bi.mp4,Các thành phố ở Canada cùng treo cờ mừng Ngày Pháp Luân Đại Pháp Thế giới,
/cam-dong-hanh-trinh-nguoi-cha-tim-cach-chua-benh-cho-con-gai/,Cảm động: hành trình người cha tìm cách chữa bệnh cho con gái,cha chua benh cho con,https://media.dieukydieu.tv/videos/original/cha-chua-benh-cho-con.mp4,cha chua benh cho con Pháp Luân Công,
/cau-chuyen-9-doi-giay-cua-ong-vuong/,Câu chuyện 9 đôi giày của ông Vương,Cau chuyen 9 doi giay cua ong Vuong Phap Luan Cong,https://media.dieukydieu.tv/videos/original/Cau-chuyen-9-doi-giay-cua-ong-Vuong-Phap-Luan-Cong.mp4,Cau chuyen 9 doi giay cua ong Vuong Phap Luan Cong,
/cau-chuyen-cam-dong-bat-ngo-cua-mot-tre-tu-ky-hoa-nhap-voi-ban-be/,Câu chuyện cảm động bất ngờ của một trẻ tự kỷ hoà nhập với bạn bè,Cau chuyen cam dong bat ngo cua mot tre tu ky hoa nhap voi ban be,https://media.dieukydieu.tv/videos/original/Cau-chuyen-cam-dong-bat-ngo-cua-mot-tre-tu-ky-hoa-nhap-voi-ban-be.mp4,Cau chuyen cam dong bat ngo cua mot tre tu ky hoa nhap voi ban be Pháp Luân Công,
