page_path,page_title,original_video_title_or_filename,youtube_search_query,candidate_title,candidate_url,candidate_channel,candidate_duration,original_mp4_url
/5-bai-tap-phap-luan-cong/,Hướng dẫn tập 5 bài tập Pháp Luân Công chuẩn,huong dan tap phap luan cong,huong dan tap phap luan cong,Pháp Luân Công 5 Bài Tập Luyện Hàng Ngày Nâng Cao Sức Khỏe,https://www.youtube.com/watch?v=uDCEq4DrsPM,Duong Le,2754.0,https://dieukydieu.tv/wp-content/uploads/2020/02/huong-dan-tap-phap-luan-cong.mp4
/an-giang-mien-tay-que-toi/,An Giang! Miền tây quê tôi,an giang,an giang Pháp Luân Công,Tóm tắt nhanh về Pháp Luân Công trong 5 phút,https://www.youtube.com/watch?v=rCEitbeDUH0,KIẾN THỨC THÚ VỊ Official,332.0,https://dieukydieu.tv/wp-content/uploads/2020/video/an-giang.mp4
/bai-hat-tro-ve-co-huong-mien-dat-tinh-tho/,Bài hát: Trở về Cố Hương – miền đất tịnh thổ,tro ve co huong,tro ve co huong Pháp Luân Công,MV sân khấu: TRỞ VỀ CỐ HƯƠNG || Liên Tịnh,https://www.youtube.com/watch?v=EPo6jRil4Gk,Bách Thông,257.0,https://dieukydieu.tv/wp-content/uploads/2020/video/tro-ve-co-huong.mp4
/bay-nua-vong-trai-dat-chi-de-gap-su-phu/,Bay Nửa Vòng Trái Đất Chỉ Để Gặp Sư Phụ,bay nua vong trai dat,bay nua vong trai dat Pháp Luân Công,Pháp Luân Công: Bay Nửa Vòng Trái Đất Chỉ Để Gặp Sư Phụ,https://www.youtube.com/watch?v=R-JrAmx7Mdg,Khoa học và Tu luyện,403.0,https://dieukydieu.tv/wp-content/uploads/2020/03/bay-nua-vong-trai-dat.mp4
/ca-khuc-mong-tinh-loi-viet/,Ca khúc: Mộng Tỉnh – lời việt,mong tinh,mong tinh Pháp Luân Công,Tỉnh mộng | Soprano Min Jiang,https://www.youtube.com/watch?v=p5oeYgXQ2-c,Đắc Pháp TV,241.0,https://dieukydieu.tv/wp-content/uploads/2020/02/mong-tinh.mp4
/ca-khuc-thien-su-huy-hoang/,Ca khúc: Thiên sử huy hoàng,thien su huy hoang,thien su huy hoang Pháp Luân Công,MV sân khấu 4k: Thiên Sử Huy Hoàng - 30 năm Đại Pháp hồng truyền,https://www.youtube.com/watch?v=rLPAeVWvU1M,Bách Thông,318.0,https://dieukydieu.tv/wp-content/uploads/2020/video/thien-su-huy-hoang.mp4
/cac-nghi-sy-hoa-ky-ton-vinh-ngay-phap-luan-dai-phap-the-gioi-13-5-2020/,Các nghị sỹ Hoa Kỳ tôn vinh ngày Pháp Luân Đại Pháp thế giới 13/5/2020,nghi sy hoa ky,nghi sy hoa ky Pháp Luân Công,Các nghị sĩ Hoa Kỳ tập hợp ủng hộ Pháp Luân Công,https://www.youtube.com/watch?v=c6DT6lIr4vY,Uknow8691,189.0,https://dieukydieu.tv/wp-content/uploads/2020/06/nghi-sy-hoa-ky.mp4
/cac-thanh-pho-o-canada-cung-treo-co-mung-ngay-phap-luan-dai-phap-the-gioi/,Các thành phố ở Canada cùng treo cờ mừng ”Ngày Pháp Luân Đại Pháp Thế giới’,Các thành phố ở Canada cùng treo cờ mừng Ngày Pháp Luân Đại Pháp Thế giới,Các thành phố ở Canada cùng treo cờ mừng Ngày Pháp Luân Đại Pháp Thế giới,Các thành phố Canada treo cờ chúc mừng ngày Pháp Luân Đại Pháp,https://www.youtube.com/watch?v=GGmFAFklp_4,TÂN KỶ NGUYÊN,335.0,https://dieukydieu.tv/wp-content/uploads/2021/06/C%C3%A1c-th%C3%A0nh-ph%E1%BB%91-%E1%BB%9F-Canada-c%C3%B9ng-treo-c%E1%BB%9D-m%E1%BB%ABng-Ng%C3%A0y-Ph%C3%A1p-Lu%C3%A2n-%C4%90%E1%BA%A1i-Ph%C3%A1p-Th%E1%BA%BF-gi%E1%BB%9Bi.mp4
/cam-dong-hanh-trinh-nguoi-cha-tim-cach-chua-benh-cho-con-gai/,Cảm động: hành trình người cha tìm cách chữa bệnh cho con gái,cha chua benh cho con,cha chua benh cho con Pháp Luân Công,"Pháp Luân Công là môn tu luyện, không chỉ là chữa bệnh khỏe người - Nguyện Ước",https://www.youtube.com/watch?v=oltKgJhzD8Q,Nguyện Ước,649.0,https://dieukydieu.tv/wp-content/uploads/2020/video/cha-chua-benh-cho-con.mp4
/cau-chuyen-9-doi-giay-cua-ong-vuong/,Câu chuyện 9 đôi giày của ông Vương,Cau chuyen 9 doi giay cua ong Vuong Phap Luan Cong,Cau chuyen 9 doi giay cua ong Vuong Phap Luan Cong,Pháp Luân Công 5 Bài Tập Luyện Hàng Ngày Nâng Cao Sức Khỏe,https://www.youtube.com/watch?v=uDCEq4DrsPM,Duong Le,2754.0,https://dieukydieu.tv/wp-content/uploads/2020/video/Cau-chuyen-9-doi-giay-cua-ong-Vuong-Phap-Luan-Cong.mp4
